"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01177000999451","0.992529988288879","0.999750018119812","0.989000022411346","0.977540016174316","0.952910006046295","0.963500022888184","0.967639982700348","0.987230002880096","1.00573003292084","1.00407004356384","1.01434004306793","1.00870001316071","1.02118003368378","","","",
"Andorra","AND","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","1.14837","","","","","","","","1.0251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.17096","0.16463","0.16411","0.17203","0.17005","0.17676","0.18349","0.1952","0.2017","","","0.24556","0.49001","","0.4761","0.48254","0.53891","","0.5087","","","0.53728","","0.3535","0.41846","0.45658","","","","","","0","","0.53056001663208","0.396860003471375","0.537599980831146","0.564310014247894","0.560280025005341","0.580630004405975","0.605109989643097","0.621360003948212","0.659699976444244","0.665929973125458","0.652339994907379","","",
"Angola","AGO","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.56181","0.58158","","","","","","","","","","0.82098","0.78618","","","","","","","","","","","","","","","0.81708","","","","","","","","","","0.841669976711273","0.833199977874756","0.787999987602234","0.639490008354187","","","","",
"Albania","ALB","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","0.91836","","0.91967","0.92381","0.91376","0.9097","0.92158","0.94755","0.93948","0.92887","0.92772","0.92982","0.94167","0.93866","0.93046","0.93556","0.99429","1.02506","0.98883","0.96437","0.96205","0.95764","","0.953589975833893","0.958589971065521","0.973380029201508","","","","","","","","","","","","","","",
"Arab World","ARB","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","0.619930028915405","0.617950022220612","0.623669981956482","0.630770027637482","0.63783997297287","0.642340004444122","0.650940001010895","0.661920011043549","0.67069000005722","0.691229999065399","0.702769994735718","0.714850008487701","0.724950015544891","0.732999980449677","0.740270018577576","0.749319970607758","0.757889986038208","0.766830027103424","0.770060002803802","0.780730009078979","0.790899991989136","0.797689974308014","0.812150001525879","0.820079982280731","0.823249995708466","0.836489975452423","0.821060001850128","0.844110012054443","0.854910016059875","0.865629971027374","0.873939990997314","0.882560014724731","0.891149997711182","0.899259984493256","0.903190016746521","0.910279989242554","0.914219975471497","0.918560028076172","0.922209978103638","0.9235799908638","0.925710022449493","0.924899995326996","0.931400001049042","0.933969974517822","","",
"United Arab Emirates","ARE","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","0.82522","0.91852","0.92636","0.9408","1.01217","1.05002","1.03473","1.00004","0.95957","0.98201","0.97923","0.9723","0.9743","0.99223","1.03011","1.04816","1.05659","1.05632","1.04865","1.0459","1.04098","1.02162","1.00616","","1.03161","1.04211","1.03258001804352","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","1.03332","1.03018","1.02332","1.03032","1.02754","1.0312","1.02834","1.03066","1.04096","1.02841","1.03191","1.03217","1.0206","","1.02735","1.03763","1.02441","1.02563","1.06591","","","","","","","","1.02784","1.03059","1.01907","1.01487004756927","1.00987005233765","1.00685000419617","1.00512003898621","1.02516996860504","1.03538000583649","1.038370013237","1.04043996334076","1.0448499917984","1.05030000209808","1.04382002353668","1.03807997703552","1.03901994228363","1.03380000591278","","","",
"Armenia","ARM","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05761003494263","","","","","","","1.12600994110107","1.136510014534","1.14700996875763","","","","","","",
"American Samoa","ASM","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0154","1.03349","1.00639","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","1.1493","1.01878","","1.03751","0.84091","","","","","","","","","","","","","","0.94034","","","","","","","","","","","","","","","0.966560006141663","0.949329972267151","0.973940014839172","0.95508998632431","0.950869977474213","1.0249799489975","","","",
"Australia","AUS","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0014","0.9972","0.99566","0.99573","1.01462","1.01858","0.997860014438629","1.00009000301361","0.988829970359802","0.980139970779419","0.982909977436066","0.97614997625351","0.973089993000031","0.985610008239746","0.988770008087158","0.985700011253357","0.976199984550476","0.970589995384216","0.969510018825531","0.968559980392456","0.9582399725914","","",
"Austria","AUT","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.9362","","","","","0.92176","","","","","0.91953","0.92988","0.92591","0.92709","0.94391","0.93011","0.92532","0.93113","0.94373","0.94064","0.94764","0.94761","0.95318","0.95767","0.95824","0.96194","0.96551","0.95982","0.964770019054413","0.967559993267059","0.968420028686523","0.963240027427673","0.963010013103485","0.963699996471405","0.967639982700348","0.971040010452271","0.969449996948242","0.96613997220993","0.966019988059998","0.969860017299652","0.971449971199036","0.972150027751923","0.973160028457642","","",
"Azerbaijan","AZE","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0002","0.99043","0.96961","0.94816","1.07028","1.06956","1.03832","","","","","","","","","0.95508998632431","0.975300014019012","0.990149974822998","1.01724994182587","0.986999988555908","0.980199992656708","0.984139978885651","","","",
"Burundi","BDI","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.47029","0.48345","0.54136","0.56637","0.57473","0.59379","0.60963","0.60438","0.6171","0.61882","0.61995","0.60783","0.61825","0.63974","0.666","0.6896","0.72038","0.76241","0.77798","0.78536","0.81342","0.79505","0.79646","","","","","","","","","","0.788469970226288","0.806800007820129","0.823059976100922","0.866119980812073","0.876850008964539","","0.89859002828598","0.909409999847412","0.923389971256256","0.934589982032776","0.951990008354187","","",
"Belgium","BEL","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.98078","0.97926","0.99401","0.98816","0.99221","0.99277","0.99979","1.00314","1.00685","1.00999","1.0139","1.01181","1.021","1.01493","1.01611","1.0097","1.00978","1.00845","1.00848","1.01002","1.01148","1.00904","1.02926","1.03","1.0378","1.0365","","","1.03770995140076","1.0543600320816","1.06132996082306","1.06598997116089","1.05579996109009","0.980790019035339","0.980440020561218","0.980960011482239","0.97996997833252","0.982379972934723","0.983799993991852","0.98377001285553","0.982479989528656","0.984019994735718","1.0809999704361","","",
"Benin","BEN","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.44559","","0.4538","0.44393","0.4417","","0.43366","","","","","","","","0.46461","0.46724","0.4711","","","","","","","","","","","","0.597989976406097","0.615989983081818","0.628729999065399","0.643400013446808","0.655070006847382","0.676429986953735","0.707899987697601","","","","","","0.794449985027313","","0.821720004081726","","",
"Burkina Faso","BFA","Gross enrolment ratio, primary and secondary, gender parity index (GPI)","SE.ENR.PRSC.FM.ZS","","","","","","","","","","","","0.5683","0.57884","0.58564","0.58964","0.59562","0.58956","0.57704","","0.58689","0.60068","0.58929","0.59247","0.58844","0.5885","0.59104","0.58922","","","","","","","","0.63895","","","","","0.684099972248077","0.700219988822937","0.712759971618652","","0.737240016460419","0.766629993915558","0.78235000371933","0.799480020999908","0.817990005016327","0.840009987354279","0.855970025062561","0.876730024814606","0.892849981784821","0.913779973983765","0.935970008373261","","",
